GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test,com.inditex.infrastructure.config,SecurityConfig,10,92,0,0,3,22,1,5,1,5
test,com.inditex.infrastructure.config,ModelMapperConfig,0,14,0,0,0,4,0,3,0,3
test,com.inditex.infrastructure.config,JwtRequestFilter,14,63,3,5,5,20,3,4,0,3
test,com.inditex.infrastructure.config,AppConfig,0,31,0,0,0,8,0,5,0,5
test,com.inditex.infrastructure.config,OpenApiConfig,0,45,0,0,0,14,0,3,0,3
test,com.inditex.infrastructure.config,DataLoadConfig,4,167,0,0,2,21,1,3,1,3
test,com.inditex.application.mapper,PriceMapper,0,41,0,0,0,10,0,4,0,4
test,com.inditex,Main,5,3,0,0,2,1,1,1,1,1
test,com.inditex.application.controller,PriceController,0,44,0,0,0,7,0,3,0,3
test,com.inditex.application.controller,AuthController,0,65,0,2,0,19,0,5,0,4
test,com.inditex.infrastructure.exception,GlobalExceptionHandler,0,143,0,0,0,26,0,6,0,6
test,com.inditex.infrastructure.repository,PriceRepositoryAdapter,0,13,0,0,0,4,0,2,0,2
test,com.inditex.infrastructure.repository,PriceRepository,2,15,1,1,0,2,1,1,0,1
test,com.inditex.domain.exception,PriceNotFoundException,0,9,0,0,0,4,0,2,0,2
test,com.inditex.domain.exception,PriceServiceException,0,9,0,0,0,4,0,2,0,2
test,com.inditex.domain.model,Price,63,389,45,33,0,22,36,28,0,25
test,com.inditex.application.dto,PriceOutDTO,31,421,20,58,0,22,19,45,0,25
test,com.inditex.application.dto,PriceInDTO,21,146,15,15,0,7,12,15,0,12
test,com.inditex.domain.service,PriceService,0,116,1,5,0,27,1,7,0,5
test,com.inditex.domain.service,AuthService,0,110,0,4,0,26,0,6,0,4
